"region","population","Income","labor_force","unempl","unempl_perc","avg_temp_f","avg_snow_in","cost_index","air_quality","school_rank","crime_rate","diversity","median_age","politic","value"
"alabama",4876250,50536,2218608,68673,3.1,62.8,0.57,89.3,46.6,44,453.6,36,39.4,0,4876250
"alaska",737068,77640,350786,20961,6,26.6,64.46,129.9,29.1,48,837.8,65,35,0,737068
"arizona",7050299,58945,3651035,170558,4.7,60.3,4.76,97,45.4,49,654.8,47,38.3,1,7050299
"arkansas",2999370,47597,1354102,46351,3.4,60.4,4.04,86.9,43.1,42,671.9,36,38.8,0,2999370
"california",39283497,75235,19040697,1321263,6.9,59.4,3.76,151.7,46,37,442,37,37,1,39283497
"colorado",5610349,72331,3199883,163805,5.1,45.1,67.3,105.6,47.1,17,423.1,36,37.1,1,5610349
"connecticut",3575074,78444,1819197,109861,6,49,37.85,127.7,45,2,181.6,37,41.2,1,3575074
"delaware",957248,68287,490263,25170,5.1,55.3,16.94,108.1,46.4,9,431.9,36,41.4,1,957248
"district of columbia",692683,86420,413131,24984,6,0,0,0,0,0,999.8,37,34.3,0,692683
"florida",20901636,55660,10632403,482551,4.5,70.7,0.01,97.9,38.9,22,383.6,36,42.4,0,20901636
"georgia",10403847,58700,5174199,146218,2.8,63.5,0.76,89.2,48.2,34,400.1,36,37.2,1,10403847
"hawaii",1422094,81275,646466,38473,6,70,0,192.9,21.2,31,254.2,50,39.6,1,1422094
"idaho",1717750,55785,908676,23811,2.6,44.4,36.49,92.3,44.3,38,242.6,35,36.9,0,1717750
"illinois",12770631,65886,6243007,354204,5.7,51.8,21.75,94.5,43.6,13,425.9,36,38.6,1,12770631
"indiana",6665703,56303,3319801,100696,3,51.7,21.93,90,47.5,15,357.7,37,38,0,6665703
"iowa",3139508,60523,1660887,61617,3.7,47.8,31.27,90.1,37.6,23,303.5,36,38.5,0,3139508
"kansas",2910652,59597,1505617,54055,3.6,54.3,15.42,89,42.8,29,425,36,37.2,0,2910652
"kentucky",4449052,50589,1997104,81683,4.1,55.6,8.83,90.9,46.1,16,259.1,36,39.2,0,4449052
"louisiana",4664362,49469,2061046,104420,5.1,66.4,0.2,93.9,40.4,50,639.4,36,37.7,0,4664362
"maine",1335492,57918,678802,32921,4.8,41,77.28,117.5,36.5,20,108.6,35,45.1,1,1335492
"maryland",6018848,84805,3136676,168535,5.4,54.2,20.61,129.7,47,10,399.9,42,39,1,6018848
"massachusetts",6850553,81215,3740406,202935,5.4,47.9,51.05,131.6,41.4,1,308.8,36,39.7,1,6850553
"michigan",9965265,57144,4758519,280255,5.9,44.4,60.66,88.9,42.5,33,478,36,39.8,1,9965265
"minnesota",5563378,71306,3029630,100247,3.3,41.2,43.43,101.6,38.3,7,277.5,37,38.4,1,5563378
"mississippi",2984418,45081,1267179,63234,5,63.4,0.71,86.1,43.7,46,291.2,25,38.3,0,2984418
"missouri",6104910,55461,3058638,108380,3.5,54.5,12.67,87.1,44,36,542.7,36,38.9,0,6104910
"montana",1050649,54970,543545,15403,2.8,42.7,37.28,106.9,39.6,26,469.8,25,40.5,0,1050649
"nebraska",1914571,61439,1023894,18127,1.8,48.8,28.12,90.8,37,11,334.1,37,36.8,1,1914571
"nevada",2972382,60365,1549196,106116,6.8,49.9,18.83,108.5,42.1,45,460.3,38,38.4,1,2972382
"new hampshire",1348124,76768,745335,20273,2.7,43.8,71.44,109.7,38.9,6,146.4,35,43,1,1348124
"new jersey",8878503,82545,4439249,295168,6.6,52.7,23.73,125.1,44.1,3,195.4,38,40.2,1,8878503
"new mexico",2092454,49754,951526,58977,6.2,53.4,22.74,87.5,42.1,51,778.3,48,38.6,1,2092454
"new york",19572319,68486,9274641,614325,6.6,45.4,55.32,139.1,40.4,12,363.8,37,39.2,1,19572319
"north carolina",10264876,54602,5041736,198226,3.9,59,5.03,94.9,46.5,30,419.3,47,39.1,0,10264876
"north dakota",756717,64894,401842,12838,3.2,40.4,37,98.8,37,14,329,47,35.5,0,756717
"ohio",11655397,56602,5682379,275395,4.8,50.7,26.63,90.8,48.2,32,308.8,36,39.6,0,11655397
"oklahoma",3932870,52919,1860247,46268,2.5,59.6,5.88,87,43.5,47,458.6,49,37,0,3932870
"oregon",4129803,62818,2167843,91542,4.2,48.4,10.91,134.2,36.1,40,291.9,36,39.7,1,4129803
"pennsylvania",12791530,61744,6258513,359349,5.7,48.8,35.84,101.7,45.6,24,389.5,37,40.8,1,12791530
"rhode island",1057231,67167,553724,28328,5.1,50.1,38.85,119.4,43.7,27,230.8,36,40.1,1,1057231
"south carolina",5020806,53199,2407093,89473,3.7,62.4,1.5,95.9,44.8,43,530.7,36,39.9,0,5020806
"south dakota",870638,58275,470997,12833,2.7,45.2,37.43,99.8,39.6,25,501.4,47,37.7,0,870638
"tennessee",6709356,53320,3311732,133507,4,57.6,4.61,88.7,47.5,35,672.7,36,39,0,6709356
"texas",28260856,61874,14253815,742218,5.2,64.8,1.36,91.5,41,28,446.5,36,35.1,0,28260856
"utah",3096848,71621,1679152,34538,2.1,48.6,40.99,98.4,51.2,18,260.7,36,31.2,0,3096848
"vermont",624313,61973,318319,8213,2.6,42.9,89.25,114.5,38.5,5,173.4,35,42.8,1,624313
"virginia",8454463,74222,4259504,145605,3.4,55.1,14.85,100.7,45,4,208,37,38.5,1,8454463
"washington",7404107,73775,3936698,184608,4.7,48.3,15.57,110.7,33.5,21,293.7,48,37.9,1,7404107
"west virginia",1817305,46711,790951,31603,4,51.8,25.13,91.1,47.6,39,355.9,24,42.9,0,1817305
"wisconsin",5790716,61747,3107831,93247,3,43.1,45.79,97.3,39.5,8,323.4,36,39.9,1,5790716
"wyoming",581024,64049,292401,10837,3.7,42,51,89.3,45,19,234.2,25,38.1,0,581024
